"group_num","date","jday","hot","warm","mean","cool","cold","ambient"
30,2025-02-28,59,9.41131003208204,7.49329343161835,4.61626853092283,1.7392436302273,-0.178772970236379,4.972005208
30,2025-03-01,60,8.15332943206775,6.73850507160978,4.61626853092283,2.49403199023588,1.07920762977791,6.138671875
31,2025-03-02,61,8.10724781899819,6.69242345854022,4.57018691785327,2.44795037716632,1.03312601670835,6.160481771
31,2025-03-03,62,8.10724781899819,6.69242345854022,4.57018691785327,2.44795037716632,1.03312601670835,5.431315104
32,2025-03-04,63,7.99213205748062,6.57730769702265,4.4550711563357,2.33283461564874,0.918010255190777,6.873697917
32,2025-03-05,64,7.99213205748062,6.57730769702265,4.4550711563357,2.33283461564874,0.918010255190777,8.537760417
33,2025-03-06,65,8.99115931237856,7.57633495192059,5.45409841123364,3.33186187054669,1.91703751008872,9.78125
33,2025-03-07,66,8.99115931237856,7.57633495192059,5.45409841123364,3.33186187054669,1.91703751008872,11.20117188
34,2025-03-08,67,9.09092512975415,7.67610076929619,5.55386422860924,3.43162768792228,2.01680332746432,11.86132813
34,2025-03-09,68,9.09092512975415,7.67610076929619,5.55386422860924,3.43162768792228,2.01680332746432,12.04394531
35,2025-03-10,69,9.49916909706754,8.08434473660957,5.96210819592262,3.83987165523567,2.4250472947777,9.112955729
35,2025-03-11,70,9.49916909706754,8.08434473660957,5.96210819592262,3.83987165523567,2.4250472947777,7.228190104
36,2025-03-12,71,9.20921326776126,7.79438890730329,5.67215236661634,3.54991582592938,2.13509146547142,5.025065104
36,2025-03-13,72,9.20921326776126,7.79438890730329,5.67215236661634,3.54991582592938,2.13509146547142,4.098958333
37,2025-03-14,73,9.72684777838913,8.31202341793116,6.18978687724421,4.06755033655726,2.65272597609929,4.21875
37,2025-03-15,74,9.72684777838913,8.31202341793116,6.18978687724421,4.06755033655726,2.65272597609929,5.937174479
38,2025-03-16,75,10.0162162384846,8.60139187802668,6.47915533733973,4.35691879665277,2.94209443619481,4.192057292
38,2025-03-17,76,10.0162162384846,8.60139187802668,6.47915533733973,4.35691879665277,2.94209443619481,5.704101563
39,2025-03-18,77,9.61727830823584,8.20245394777788,6.08021740709092,3.95798086640397,2.543156505946,5.444335938
39,2025-03-19,78,9.61727830823584,8.20245394777788,6.08021740709092,3.95798086640397,2.543156505946,7.434570313
40,2025-03-20,79,9.87130552828602,8.45648116782805,6.3342446271411,4.21200808645415,2.79718372599618,12.16666667
40,2025-03-21,80,9.87130552828602,8.45648116782805,6.3342446271411,4.21200808645415,2.79718372599618,12.20540365
41,2025-03-22,81,9.95432990257183,8.53950554211387,6.41726900142691,4.29503246073996,2.88020810028199,12.24414063
41,2025-03-23,82,9.95432990257183,8.53950554211387,6.41726900142691,4.29503246073996,2.88020810028199,10.0078125
42,2025-03-24,83,10.4232532289843,9.00842886852629,6.88619232783934,4.76395578715239,3.34913142669442,9.343424479
42,2025-03-25,84,10.4232532289843,9.00842886852629,6.88619232783934,4.76395578715239,3.34913142669442,9.574869792
43,2025-03-26,85,10.2031035807748,8.78827922031685,6.6660426796299,4.54380613894295,3.12898177848498,10.16731771
43,2025-03-27,86,10.2031035807748,8.78827922031685,6.6660426796299,4.54380613894295,3.12898177848498,9.494791667
44,2025-03-28,87,10.5410368673298,9.12621250687179,7.00397596618483,4.88173942549788,3.46691506503991,10.1188151
44,2025-03-29,88,10.5410368673298,9.12621250687179,7.00397596618483,4.88173942549788,3.46691506503991,8.813476563
45,2025-03-30,89,10.7309144540202,9.31609009356226,7.19385355287531,5.07161701218836,3.65679265173039,11.38216146
45,2025-03-31,90,10.7309144540202,9.31609009356226,7.19385355287531,5.07161701218836,3.65679265173039,9.349934896
46,2025-04-01,91,10.6227600567948,9.41676354520389,7.60776877781749,5.79877401043109,4.59277749884016,8.831054688
46,2025-04-02,92,10.6227600567948,9.41676354520389,7.60776877781749,5.79877401043109,4.59277749884016,9.616536458
47,2025-04-03,93,9.81388401134376,8.60788749975283,6.79889273236643,4.98989796498003,3.7839014533891,11.55957031
47,2025-04-04,94,9.81388401134376,8.60788749975283,6.79889273236643,4.98989796498003,3.7839014533891,12.91015625
48,2025-04-05,95,9.94842607905424,8.74242956746331,6.93343480007691,5.12444003269051,3.91844352109958,10.18001302
48,2025-04-06,96,9.94842607905424,8.74242956746331,6.93343480007691,5.12444003269051,3.91844352109958,9.168619792
49,2025-04-07,97,10.2319764385828,9.02597992699184,7.21698515960544,5.40799039221904,4.20199388062811,8.197916667
49,2025-04-08,98,10.2319764385828,9.02597992699184,7.21698515960544,5.40799039221904,4.20199388062811,8.100911458
